RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
USER	Circuit breaker scenario	94	START	1554985058453	1554985058453
REQUEST	90		circuit-breaker	1554985058054	1554985058475	OK	 
USER	Circuit breaker scenario	90	END	1554985058054	1554985058475
USER	Circuit breaker scenario	95	START	1554985058553	1554985058553
REQUEST	95		circuit-breaker	1554985058554	1554985058570	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	95	END	1554985058553	1554985058571
USER	Circuit breaker scenario	96	START	1554985058654	1554985058654
REQUEST	92		circuit-breaker	1554985058255	1554985058681	OK	 
USER	Circuit breaker scenario	92	END	1554985058254	1554985058682
USER	Circuit breaker scenario	97	START	1554985058754	1554985058754
REQUEST	93		circuit-breaker	1554985058353	1554985058756	OK	 
USER	Circuit breaker scenario	93	END	1554985058352	1554985058757
USER	Circuit breaker scenario	98	START	1554985058854	1554985058854
REQUEST	94		circuit-breaker	1554985058457	1554985058871	OK	 
USER	Circuit breaker scenario	94	END	1554985058453	1554985058872
USER	Circuit breaker scenario	99	START	1554985058953	1554985058953
REQUEST	99		circuit-breaker	1554985058955	1554985058970	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	99	END	1554985058953	1554985058970
USER	Circuit breaker scenario	100	START	1554985059055	1554985059055
REQUEST	96		circuit-breaker	1554985058655	1554985059083	OK	 
USER	Circuit breaker scenario	96	END	1554985058654	1554985059083
REQUEST	97		circuit-breaker	1554985058755	1554985059150	OK	 
USER	Circuit breaker scenario	97	END	1554985058754	1554985059150
USER	Circuit breaker scenario	101	START	1554985059154	1554985059154
USER	Circuit breaker scenario	102	START	1554985059254	1554985059254
REQUEST	98		circuit-breaker	1554985058855	1554985059300	OK	 
USER	Circuit breaker scenario	98	END	1554985058854	1554985059301
USER	Circuit breaker scenario	103	START	1554985059353	1554985059353
REQUEST	103		circuit-breaker	1554985059355	1554985059372	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	103	END	1554985059353	1554985059373
USER	Circuit breaker scenario	104	START	1554985059453	1554985059453
REQUEST	100		circuit-breaker	1554985059055	1554985059504	OK	 
USER	Circuit breaker scenario	100	END	1554985059055	1554985059504
USER	Circuit breaker scenario	105	START	1554985059553	1554985059553
REQUEST	101		circuit-breaker	1554985059155	1554985059559	OK	 
USER	Circuit breaker scenario	101	END	1554985059154	1554985059559
USER	Circuit breaker scenario	106	START	1554985059653	1554985059653
REQUEST	102		circuit-breaker	1554985059255	1554985059701	OK	 
USER	Circuit breaker scenario	102	END	1554985059254	1554985059701
USER	Circuit breaker scenario	107	START	1554985059753	1554985059753
REQUEST	107		circuit-breaker	1554985059754	1554985059769	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	107	END	1554985059753	1554985059770
USER	Circuit breaker scenario	108	START	1554985059853	1554985059853
REQUEST	104		circuit-breaker	1554985059455	1554985059915	OK	 
USER	Circuit breaker scenario	104	END	1554985059453	1554985059915
USER	Circuit breaker scenario	109	START	1554985059953	1554985059953
REQUEST	105		circuit-breaker	1554985059554	1554985059968	OK	 
USER	Circuit breaker scenario	105	END	1554985059553	1554985059968
USER	Circuit breaker scenario	110	START	1554985060054	1554985060054
REQUEST	106		circuit-breaker	1554985059654	1554985060103	OK	 
USER	Circuit breaker scenario	106	END	1554985059653	1554985060104
USER	Circuit breaker scenario	111	START	1554985060151	1554985060151
REQUEST	111		circuit-breaker	1554985060152	1554985060165	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	111	END	1554985060151	1554985060166
USER	Circuit breaker scenario	112	START	1554985060252	1554985060252
REQUEST	108		circuit-breaker	1554985059854	1554985060320	OK	 
USER	Circuit breaker scenario	108	END	1554985059853	1554985060321
USER	Circuit breaker scenario	113	START	1554985060354	1554985060354
REQUEST	109		circuit-breaker	1554985059954	1554985060369	OK	 
USER	Circuit breaker scenario	109	END	1554985059953	1554985060370
USER	Circuit breaker scenario	114	START	1554985060452	1554985060452
REQUEST	110		circuit-breaker	1554985060055	1554985060509	OK	 
USER	Circuit breaker scenario	110	END	1554985060054	1554985060509
USER	Circuit breaker scenario	115	START	1554985060553	1554985060553
REQUEST	115		circuit-breaker	1554985060554	1554985060567	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	115	END	1554985060553	1554985060568
USER	Circuit breaker scenario	116	START	1554985060654	1554985060654
REQUEST	112		circuit-breaker	1554985060252	1554985060727	OK	 
USER	Circuit breaker scenario	112	END	1554985060252	1554985060728
USER	Circuit breaker scenario	117	START	1554985060753	1554985060753
REQUEST	113		circuit-breaker	1554985060355	1554985060764	OK	 
USER	Circuit breaker scenario	113	END	1554985060354	1554985060764
USER	Circuit breaker scenario	118	START	1554985060843	1554985060843
REQUEST	114		circuit-breaker	1554985060453	1554985060915	OK	 
USER	Circuit breaker scenario	114	END	1554985060452	1554985060915
USER	Circuit breaker scenario	119	START	1554985060934	1554985060934
REQUEST	119		circuit-breaker	1554985060935	1554985060949	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	119	END	1554985060934	1554985060949
USER	Circuit breaker scenario	120	START	1554985061023	1554985061023
USER	Circuit breaker scenario	121	START	1554985061124	1554985061124
REQUEST	116		circuit-breaker	1554985060655	1554985061136	OK	 
USER	Circuit breaker scenario	116	END	1554985060654	1554985061136
REQUEST	117		circuit-breaker	1554985060753	1554985061165	OK	 
USER	Circuit breaker scenario	117	END	1554985060753	1554985061165
USER	Circuit breaker scenario	122	START	1554985061214	1554985061214
USER	Circuit breaker scenario	123	START	1554985061303	1554985061303
REQUEST	123		circuit-breaker	1554985061304	1554985061315	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	123	END	1554985061303	1554985061315
REQUEST	118		circuit-breaker	1554985060843	1554985061335	OK	 
USER	Circuit breaker scenario	118	END	1554985060843	1554985061336
USER	Circuit breaker scenario	124	START	1554985061392	1554985061392
USER	Circuit breaker scenario	125	START	1554985061483	1554985061483
REQUEST	120		circuit-breaker	1554985061024	1554985061569	OK	 
USER	Circuit breaker scenario	120	END	1554985061023	1554985061569
USER	Circuit breaker scenario	126	START	1554985061573	1554985061573
REQUEST	121		circuit-breaker	1554985061124	1554985061590	OK	 
USER	Circuit breaker scenario	121	END	1554985061124	1554985061590
USER	Circuit breaker scenario	127	START	1554985061663	1554985061663
REQUEST	127		circuit-breaker	1554985061663	1554985061674	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	127	END	1554985061663	1554985061675
USER	Circuit breaker scenario	128	START	1554985061753	1554985061753
